,Survey_dat,Name,Survey_num,Easting,Northing,Elevation,E_disp,N_disp,V_disp,Net_H_disp,net_H_V_di,net_disp_y,cum_net_di,latitude,longitude,geometry
28,42915,Peg 19,8,401962.4055964287,5598962.364610779,359.532196,-0.32288,-0.290837,-0.137845,0.434554548,0.455893517,1.647535978,3.219704624,-39.7536,175.856,POINT Z (401962.4055964287 5598962.364610779 359.532196)
29,42814,Peg 19,7,401962.71509068116,5598962.669552771,359.670041,-0.107697,-0.166469,-0.105099,0.198268938,0.224402254,0.85319607,2.763811107,-39.7536,175.856,POINT Z (401962.7150906812 5598962.669552771 359.670041)
30,42718,Peg 19,6,401962.81451112917,5598962.840058929,359.77514,-0.56179,-0.657465,-0.432246,0.86479375,0.966801342,2.262067242,2.539408853,-39.7536,175.856,POINT Z (401962.8145111292 5598962.840058929 359.77514)
31,42562,Peg 19,5,401963.3462888642,5598963.521073804,360.207386,-0.214093,-0.210851502,-0.15468675,0.300489881,0.337967689,1.063432816,1.572607511,-39.7536,175.856,POINT Z (401963.3462888642 5598963.521073804 360.207386)
32,42446,Peg 19,4,401963.5505286611,5598963.741281513,360.3620728,-0.154317,-0.193198998,-0.1164995,0.24726421,0.273334452,0.987792823,1.234639822,-39.7536,175.856,POINT Z (401963.5505286611 5598963.741281513 360.3620728)
33,42345,Peg 19,3,401963.6966668841,5598963.94088578,360.4785723,-0.208134,-0.168778,-0.2179735,0.267965997,0.345424698,1.854117866,0.961305369,-39.7536,175.856,POINT Z (401963.6966668841 5598963.94088578 360.4785723)
34,42277,Peg 19,2,401963.89679037,5598964.118893603,360.6965458,-0.348,-0.426000001,-0.277,0.550072723,0.615880671,2.525802751,0.615880671,-39.7536,175.856,POINT Z (401963.89679037 5598964.118893603 360.6965458)
35,42188,Peg 19,1,401964.2252206848,5598964.559733055,360.9735458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.7536,175.856,POINT Z (401964.2252206848 5598964.559733055 360.9735458)
36,43881,Peg 14,13,401696.8836250278,5599135.891789883,381.389906,0.661587,-2.36204,-0.212098,2.452943195,2.462095831,1.80093182,11.32694651,-39.752,175.853,POINT Z (401696.8836250278 5599135.891789883 381.389906)
37,43382,Peg 14,12,401696.117305934,5599138.220443967,381.602004,0.451874,-1.77079,-0.219338,1.827535865,1.840651106,3.427743132,8.86485068,-39.752,175.853,POINT Z (401696.117305934 5599138.220443967 381.602004)
38,43186,Peg 14,11,401695.58701718657,5599139.968420836,381.821342,0.326149,-1.22618,-0.519012,1.268814629,1.370862509,2.996196502,7.024199574,-39.752,175.853,POINT Z (401695.5870171866 5599139.968420836 381.821342)
39,43019,Peg 14,10,401695.2068418189,5599141.177898421,382.340354,0.29041,-1.251359,-0.580583,1.284615629,1.409721226,4.947579302,5.653337064,-39.752,175.853,POINT Z (401695.2068418189 5599141.177898421 382.340354)
40,42915,Peg 14,9,401694.8614483539,5599142.414940311,382.920937,0.173366,-0.769971,-0.129966,0.78924718,0.79987641,2.890642474,4.243615838,-39.752,175.852,POINT Z (401694.8614483539 5599142.414940311 382.920937)
41,42814,Peg 14,8,401694.65437185817,5599143.17597975,383.050903,0.088518,-0.359072,-0.107633,0.369821764,0.385166198,1.464433982,3.443739428,-39.752,175.852,POINT Z (401694.6543718582 5599143.17597975 383.050903)
